Text,Label
Don't forget about the meeting happening at office.,0
"Earn up to $1,000 from home. Apply at http://offers.net today.",1
Can you send me the report by tomorrow?,0
Congratulations! You've won $100 dollars. Click here to claim now.,1
Let's meet for coffee this Saturday. Let me know your availability.,0
Can you send me the slides by today?,0
Free voucher for the first 10 users. Act fast!,1
Let's meet for coffee this Saturday. Let me know your availability.,0
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
"Hi John, are we still meeting at 6 PM tomorrow?",0
Congratulations! You've won $500 dollars. Click here to claim now.,1
Can you send me the slides by today?,0
Get 30% off on your next purchase! Visit http://offers.net for more details.,1
Let's meet for coffee this Monday. Let me know your availability.,0
Don't forget about the meeting happening at office.,0
"Earn up to $1,000 from home. Apply at http://freebie.com today.",1
Free voucher for the first 100 users. Act fast!,1
Congratulations! You've won $100 dollars. Click here to claim now.,1
"Happy birthday, Alice! Have a great day!",0
Don't forget about the meeting happening at office.,0
"Hi Sara, are we still meeting at 10 AM tomorrow?",0
"Congratulations! You've won $1,000 dollars. Click here to claim now.",1
Can you send me the report by tomorrow?,0
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
Free gift card for the first 100 users. Act fast!,1
Can you send me the file by tomorrow?,0
"Hi Sara, are we still meeting at 2 PM tomorrow?",0
Can you send me the report by today?,0
Urgent: Your account has been compromised. Verify at http://offers.net.,1
Can you send me the report by today?,0
Get 30% off on your next purchase! Visit http://offers.net for more details.,1
Get 75% off on your next purchase! Visit http://offers.net for more details.,1
Don't forget about the conference happening at room 101.,0
Earn up to $100 from home. Apply at http://offers.net today.,1
Don't forget about the conference happening at room 101.,0
Don't forget about the conference happening at auditorium.,0
"Hi John, are we still meeting at 10 AM tomorrow?",0
Don't forget about the conference happening at auditorium.,0
Can you send me the file by end of the week?,0
Earn up to $50 from home. Apply at http://freebie.com today.,1
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
Get 50% off on your next purchase! Visit http://freebie.com for more details.,1
"Happy birthday, Mike! Have a great day!",0
Let's meet for coffee this Saturday. Let me know your availability.,0
Free voucher for the first 10 users. Act fast!,1
Don't forget about the presentation happening at room 101.,0
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
"Hi Sara, are we still meeting at 6 PM tomorrow?",0
Can you send me the slides by tomorrow?,0
Free gift card for the first 50 users. Act fast!,1
Can you send me the file by today?,0
Don't forget about the meeting happening at room 101.,0
Can you send me the file by tomorrow?,0
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
"Hi Sara, are we still meeting at 2 PM tomorrow?",0
Don't forget about the meeting happening at office.,0
Free gift card for the first 50 users. Act fast!,1
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
Don't forget about the presentation happening at auditorium.,0
Let's meet for lunch this Saturday. Let me know your availability.,0
Get 75% off on your next purchase! Visit http://freebie.com for more details.,1
"Earn up to $1,000 from home. Apply at http://spamlink.com today.",1
Let's meet for coffee this Saturday. Let me know your availability.,0
Earn up to $100 from home. Apply at http://offers.net today.,1
Congratulations! You've won $100 dollars. Click here to claim now.,1
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
"Happy birthday, John! Have a great day!",0
Get 50% off on your next purchase! Visit http://spamlink.com for more details.,1
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
Free subscription for the first 50 users. Act fast!,1
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
Earn up to $100 from home. Apply at http://spamlink.com today.,1
Let's meet for coffee this Monday. Let me know your availability.,0
Get 20% off on your next purchase! Visit http://spamlink.com for more details.,1
Free voucher for the first 100 users. Act fast!,1
"Happy birthday, Alice! Have a great day!",0
Earn up to $100 from home. Apply at http://freebie.com today.,1
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
Get 50% off on your next purchase! Visit http://freebie.com for more details.,1
Free subscription for the first 50 users. Act fast!,1
Can you send me the slides by tomorrow?,0
Can you send me the file by today?,0
"Happy birthday, John! Have a great day!",0
Can you send me the file by end of the week?,0
"Happy birthday, John! Have a great day!",0
Don't forget about the conference happening at office.,0
Congratulations! You've won $50 dollars. Click here to claim now.,1
Get 30% off on your next purchase! Visit http://freebie.com for more details.,1
Earn up to $500 from home. Apply at http://freebie.com today.,1
Can you send me the report by tomorrow?,0
Congratulations! You've won $50 dollars. Click here to claim now.,1
Can you send me the slides by tomorrow?,0
Get 50% off on your next purchase! Visit http://spamlink.com for more details.,1
Can you send me the slides by end of the week?,0
Can you send me the report by today?,0
Free gift card for the first 10 users. Act fast!,1
"Happy birthday, John! Have a great day!",0
Free voucher for the first 100 users. Act fast!,1
"Earn up to $1,000 from home. Apply at http://offers.net today.",1
"Happy birthday, Sara! Have a great day!",0
Congratulations! You've won $50 dollars. Click here to claim now.,1
Free gift card for the first 50 users. Act fast!,1
Can you send me the slides by tomorrow?,0
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
Can you send me the report by today?,0
Let's meet for coffee this Saturday. Let me know your availability.,0
Let's meet for lunch this Saturday. Let me know your availability.,0
Get 30% off on your next purchase! Visit http://freebie.com for more details.,1
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
"Hi Alice, are we still meeting at 10 AM tomorrow?",0
Free voucher for the first 50 users. Act fast!,1
Congratulations! You've won $100 dollars. Click here to claim now.,1
"Happy birthday, Alice! Have a great day!",0
Get 75% off on your next purchase! Visit http://freebie.com for more details.,1
Don't forget about the conference happening at office.,0
"Hi Alice, are we still meeting at 2 PM tomorrow?",0
"Happy birthday, Alice! Have a great day!",0
Free gift card for the first 100 users. Act fast!,1
Get 20% off on your next purchase! Visit http://spamlink.com for more details.,1
Earn up to $100 from home. Apply at http://spamlink.com today.,1
Don't forget about the meeting happening at auditorium.,0
"Happy birthday, Alice! Have a great day!",0
"Hi Mike, are we still meeting at 10 AM tomorrow?",0
Get 50% off on your next purchase! Visit http://offers.net for more details.,1
Can you send me the file by end of the week?,0
Can you send me the file by end of the week?,0
Let's meet for dinner this weekend. Let me know your availability.,0
Free subscription for the first 50 users. Act fast!,1
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
Get 30% off on your next purchase! Visit http://offers.net for more details.,1
Urgent: Your account has been compromised. Verify at http://offers.net.,1
"Happy birthday, John! Have a great day!",0
"Hi Alice, are we still meeting at 2 PM tomorrow?",0
"Happy birthday, John! Have a great day!",0
"Happy birthday, Sara! Have a great day!",0
Free voucher for the first 100 users. Act fast!,1
Free voucher for the first 100 users. Act fast!,1
Can you send me the file by today?,0
Get 50% off on your next purchase! Visit http://freebie.com for more details.,1
Free voucher for the first 10 users. Act fast!,1
"Congratulations! You've won $1,000 dollars. Click here to claim now.",1
"Hi Sara, are we still meeting at 10 AM tomorrow?",0
Congratulations! You've won $500 dollars. Click here to claim now.,1
"Congratulations! You've won $1,000 dollars. Click here to claim now.",1
Congratulations! You've won $50 dollars. Click here to claim now.,1
Don't forget about the conference happening at room 101.,0
"Hi Mike, are we still meeting at 10 AM tomorrow?",0
Let's meet for coffee this weekend. Let me know your availability.,0
Can you send me the file by today?,0
"Earn up to $1,000 from home. Apply at http://freebie.com today.",1
Get 30% off on your next purchase! Visit http://spamlink.com for more details.,1
Don't forget about the conference happening at auditorium.,0
"Happy birthday, Mike! Have a great day!",0
Earn up to $100 from home. Apply at http://offers.net today.,1
"Hi Mike, are we still meeting at 6 PM tomorrow?",0
Earn up to $500 from home. Apply at http://freebie.com today.,1
Don't forget about the conference happening at auditorium.,0
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
Let's meet for lunch this Saturday. Let me know your availability.,0
Don't forget about the presentation happening at office.,0
Can you send me the slides by tomorrow?,0
Let's meet for dinner this weekend. Let me know your availability.,0
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
Earn up to $50 from home. Apply at http://freebie.com today.,1
Get 75% off on your next purchase! Visit http://spamlink.com for more details.,1
Congratulations! You've won $100 dollars. Click here to claim now.,1
"Congratulations! You've won $1,000 dollars. Click here to claim now.",1
"Earn up to $1,000 from home. Apply at http://freebie.com today.",1
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
Free voucher for the first 100 users. Act fast!,1
"Earn up to $1,000 from home. Apply at http://spamlink.com today.",1
Get 20% off on your next purchase! Visit http://spamlink.com for more details.,1
"Happy birthday, Mike! Have a great day!",0
Can you send me the report by tomorrow?,0
"Congratulations! You've won $1,000 dollars. Click here to claim now.",1
Free voucher for the first 100 users. Act fast!,1
Urgent: Your account has been compromised. Verify at http://offers.net.,1
"Hi John, are we still meeting at 6 PM tomorrow?",0
Get 50% off on your next purchase! Visit http://spamlink.com for more details.,1
"Happy birthday, Sara! Have a great day!",0
Let's meet for coffee this weekend. Let me know your availability.,0
Don't forget about the conference happening at office.,0
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
"Hi Sara, are we still meeting at 10 AM tomorrow?",0
Get 30% off on your next purchase! Visit http://freebie.com for more details.,1
Congratulations! You've won $500 dollars. Click here to claim now.,1
Free gift card for the first 10 users. Act fast!,1
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
Earn up to $100 from home. Apply at http://spamlink.com today.,1
Free subscription for the first 50 users. Act fast!,1
Let's meet for coffee this Monday. Let me know your availability.,0
Urgent: Your account has been compromised. Verify at http://offers.net.,1
Get 50% off on your next purchase! Visit http://spamlink.com for more details.,1
"Hi Sara, are we still meeting at 2 PM tomorrow?",0
"Happy birthday, Alice! Have a great day!",0
Don't forget about the conference happening at room 101.,0
"Hi John, are we still meeting at 10 AM tomorrow?",0
Let's meet for lunch this weekend. Let me know your availability.,0
Earn up to $500 from home. Apply at http://spamlink.com today.,1
"Hi Alice, are we still meeting at 6 PM tomorrow?",0
Congratulations! You've won $500 dollars. Click here to claim now.,1
Can you send me the file by end of the week?,0
"Hi Alice, are we still meeting at 10 AM tomorrow?",0
"Hi John, are we still meeting at 6 PM tomorrow?",0
Free gift card for the first 10 users. Act fast!,1
"Hi Alice, are we still meeting at 2 PM tomorrow?",0
Let's meet for dinner this Saturday. Let me know your availability.,0
Can you send me the file by end of the week?,0
"Earn up to $1,000 from home. Apply at http://spamlink.com today.",1
Get 50% off on your next purchase! Visit http://freebie.com for more details.,1
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
Don't forget about the meeting happening at room 101.,0
"Hi Alice, are we still meeting at 6 PM tomorrow?",0
Congratulations! You've won $500 dollars. Click here to claim now.,1
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
Don't forget about the meeting happening at office.,0
Earn up to $50 from home. Apply at http://spamlink.com today.,1
Free gift card for the first 100 users. Act fast!,1
"Hi John, are we still meeting at 2 PM tomorrow?",0
Urgent: Your account has been compromised. Verify at http://offers.net.,1
"Earn up to $1,000 from home. Apply at http://spamlink.com today.",1
Get 75% off on your next purchase! Visit http://freebie.com for more details.,1
Earn up to $100 from home. Apply at http://freebie.com today.,1
Can you send me the file by end of the week?,0
Free subscription for the first 100 users. Act fast!,1
Free gift card for the first 100 users. Act fast!,1
Can you send me the file by end of the week?,0
"Congratulations! You've won $1,000 dollars. Click here to claim now.",1
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
Congratulations! You've won $500 dollars. Click here to claim now.,1
Free voucher for the first 50 users. Act fast!,1
Free gift card for the first 10 users. Act fast!,1
Free subscription for the first 50 users. Act fast!,1
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
Let's meet for coffee this weekend. Let me know your availability.,0
Congratulations! You've won $500 dollars. Click here to claim now.,1
Earn up to $100 from home. Apply at http://freebie.com today.,1
Free subscription for the first 50 users. Act fast!,1
Don't forget about the meeting happening at room 101.,0
Can you send me the report by end of the week?,0
Can you send me the slides by end of the week?,0
"Hi John, are we still meeting at 2 PM tomorrow?",0
Earn up to $50 from home. Apply at http://offers.net today.,1
"Hi Mike, are we still meeting at 10 AM tomorrow?",0
"Happy birthday, Sara! Have a great day!",0
"Happy birthday, Alice! Have a great day!",0
Earn up to $50 from home. Apply at http://offers.net today.,1
"Congratulations! You've won $1,000 dollars. Click here to claim now.",1
Free gift card for the first 100 users. Act fast!,1
Don't forget about the presentation happening at auditorium.,0
Get 50% off on your next purchase! Visit http://spamlink.com for more details.,1
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
Get 20% off on your next purchase! Visit http://freebie.com for more details.,1
Let's meet for dinner this Saturday. Let me know your availability.,0
"Happy birthday, John! Have a great day!",0
Let's meet for dinner this Saturday. Let me know your availability.,0
Don't forget about the presentation happening at office.,0
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
Don't forget about the presentation happening at auditorium.,0
Free gift card for the first 100 users. Act fast!,1
Get 20% off on your next purchase! Visit http://freebie.com for more details.,1
Earn up to $500 from home. Apply at http://offers.net today.,1
Don't forget about the conference happening at office.,0
"Congratulations! You've won $1,000 dollars. Click here to claim now.",1
Free subscription for the first 100 users. Act fast!,1
Get 50% off on your next purchase! Visit http://offers.net for more details.,1
"Happy birthday, Sara! Have a great day!",0
Congratulations! You've won $100 dollars. Click here to claim now.,1
Let's meet for lunch this Monday. Let me know your availability.,0
Can you send me the slides by end of the week?,0
Congratulations! You've won $50 dollars. Click here to claim now.,1
Don't forget about the meeting happening at auditorium.,0
Let's meet for lunch this Monday. Let me know your availability.,0
Free voucher for the first 100 users. Act fast!,1
"Happy birthday, Mike! Have a great day!",0
Let's meet for coffee this Saturday. Let me know your availability.,0
Can you send me the report by tomorrow?,0
Free voucher for the first 50 users. Act fast!,1
Congratulations! You've won $50 dollars. Click here to claim now.,1
Can you send me the report by end of the week?,0
"Hi Mike, are we still meeting at 10 AM tomorrow?",0
"Hi John, are we still meeting at 2 PM tomorrow?",0
Get 50% off on your next purchase! Visit http://offers.net for more details.,1
"Hi John, are we still meeting at 6 PM tomorrow?",0
"Hi Mike, are we still meeting at 2 PM tomorrow?",0
Can you send me the report by today?,0
Free gift card for the first 100 users. Act fast!,1
"Happy birthday, Alice! Have a great day!",0
"Congratulations! You've won $1,000 dollars. Click here to claim now.",1
Urgent: Your account has been compromised. Verify at http://offers.net.,1
"Hi Alice, are we still meeting at 6 PM tomorrow?",0
Congratulations! You've won $50 dollars. Click here to claim now.,1
Don't forget about the presentation happening at office.,0
Don't forget about the conference happening at room 101.,0
Get 75% off on your next purchase! Visit http://spamlink.com for more details.,1
"Happy birthday, Mike! Have a great day!",0
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
Free subscription for the first 10 users. Act fast!,1
"Happy birthday, Mike! Have a great day!",0
Can you send me the file by end of the week?,0
Don't forget about the conference happening at office.,0
Congratulations! You've won $50 dollars. Click here to claim now.,1
Let's meet for lunch this Monday. Let me know your availability.,0
Let's meet for lunch this Monday. Let me know your availability.,0
"Hi Sara, are we still meeting at 10 AM tomorrow?",0
Get 20% off on your next purchase! Visit http://freebie.com for more details.,1
Don't forget about the meeting happening at room 101.,0
Can you send me the slides by tomorrow?,0
Free subscription for the first 100 users. Act fast!,1
"Hi Sara, are we still meeting at 2 PM tomorrow?",0
Free subscription for the first 10 users. Act fast!,1
"Happy birthday, Mike! Have a great day!",0
Get 75% off on your next purchase! Visit http://offers.net for more details.,1
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
Can you send me the file by today?,0
Let's meet for coffee this weekend. Let me know your availability.,0
Get 50% off on your next purchase! Visit http://offers.net for more details.,1
Free voucher for the first 10 users. Act fast!,1
Get 20% off on your next purchase! Visit http://freebie.com for more details.,1
Congratulations! You've won $100 dollars. Click here to claim now.,1
"Happy birthday, Mike! Have a great day!",0
Earn up to $50 from home. Apply at http://offers.net today.,1
Don't forget about the presentation happening at auditorium.,0
Free gift card for the first 50 users. Act fast!,1
Congratulations! You've won $50 dollars. Click here to claim now.,1
Can you send me the slides by today?,0
"Hi Sara, are we still meeting at 2 PM tomorrow?",0
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
"Hi John, are we still meeting at 10 AM tomorrow?",0
Congratulations! You've won $50 dollars. Click here to claim now.,1
"Happy birthday, Mike! Have a great day!",0
Urgent: Your account has been compromised. Verify at http://offers.net.,1
Free voucher for the first 100 users. Act fast!,1
Let's meet for dinner this Saturday. Let me know your availability.,0
"Hi Sara, are we still meeting at 10 AM tomorrow?",0
"Happy birthday, John! Have a great day!",0
"Hi Alice, are we still meeting at 6 PM tomorrow?",0
"Hi Alice, are we still meeting at 6 PM tomorrow?",0
Free gift card for the first 50 users. Act fast!,1
Get 20% off on your next purchase! Visit http://spamlink.com for more details.,1
Congratulations! You've won $500 dollars. Click here to claim now.,1
"Happy birthday, John! Have a great day!",0
Congratulations! You've won $500 dollars. Click here to claim now.,1
Don't forget about the conference happening at auditorium.,0
"Congratulations! You've won $1,000 dollars. Click here to claim now.",1
Get 75% off on your next purchase! Visit http://spamlink.com for more details.,1
Urgent: Your account has been compromised. Verify at http://offers.net.,1
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
"Hi Alice, are we still meeting at 6 PM tomorrow?",0
"Happy birthday, Mike! Have a great day!",0
Get 75% off on your next purchase! Visit http://spamlink.com for more details.,1
Get 20% off on your next purchase! Visit http://freebie.com for more details.,1
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
"Congratulations! You've won $1,000 dollars. Click here to claim now.",1
Don't forget about the presentation happening at room 101.,0
Urgent: Your account has been compromised. Verify at http://offers.net.,1
Congratulations! You've won $100 dollars. Click here to claim now.,1
"Hi John, are we still meeting at 10 AM tomorrow?",0
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
Earn up to $50 from home. Apply at http://offers.net today.,1
Let's meet for dinner this Saturday. Let me know your availability.,0
Free gift card for the first 100 users. Act fast!,1
Congratulations! You've won $500 dollars. Click here to claim now.,1
Don't forget about the conference happening at office.,0
"Happy birthday, Alice! Have a great day!",0
Free subscription for the first 100 users. Act fast!,1
Earn up to $500 from home. Apply at http://spamlink.com today.,1
"Happy birthday, Alice! Have a great day!",0
Get 50% off on your next purchase! Visit http://spamlink.com for more details.,1
Let's meet for lunch this Monday. Let me know your availability.,0
Congratulations! You've won $100 dollars. Click here to claim now.,1
"Happy birthday, Alice! Have a great day!",0
Get 75% off on your next purchase! Visit http://offers.net for more details.,1
Don't forget about the presentation happening at auditorium.,0
"Happy birthday, John! Have a great day!",0
"Happy birthday, Sara! Have a great day!",0
Let's meet for lunch this Saturday. Let me know your availability.,0
"Earn up to $1,000 from home. Apply at http://freebie.com today.",1
Don't forget about the presentation happening at auditorium.,0
Get 75% off on your next purchase! Visit http://freebie.com for more details.,1
Get 20% off on your next purchase! Visit http://offers.net for more details.,1
Free subscription for the first 100 users. Act fast!,1
Earn up to $50 from home. Apply at http://freebie.com today.,1
Urgent: Your account has been compromised. Verify at http://offers.net.,1
Don't forget about the presentation happening at auditorium.,0
"Congratulations! You've won $1,000 dollars. Click here to claim now.",1
Don't forget about the presentation happening at auditorium.,0
"Happy birthday, John! Have a great day!",0
Congratulations! You've won $50 dollars. Click here to claim now.,1
Can you send me the slides by end of the week?,0
"Earn up to $1,000 from home. Apply at http://offers.net today.",1
Let's meet for dinner this Saturday. Let me know your availability.,0
Don't forget about the conference happening at room 101.,0
Congratulations! You've won $50 dollars. Click here to claim now.,1
Don't forget about the meeting happening at office.,0
Congratulations! You've won $500 dollars. Click here to claim now.,1
Can you send me the report by end of the week?,0
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
"Happy birthday, Alice! Have a great day!",0
"Happy birthday, Mike! Have a great day!",0
Get 30% off on your next purchase! Visit http://spamlink.com for more details.,1
"Hi Alice, are we still meeting at 2 PM tomorrow?",0
Don't forget about the meeting happening at office.,0
"Hi Mike, are we still meeting at 6 PM tomorrow?",0
Get 75% off on your next purchase! Visit http://offers.net for more details.,1
Can you send me the file by tomorrow?,0
Urgent: Your account has been compromised. Verify at http://offers.net.,1
Let's meet for dinner this Monday. Let me know your availability.,0
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
Let's meet for dinner this Monday. Let me know your availability.,0
"Hi Mike, are we still meeting at 10 AM tomorrow?",0
Earn up to $100 from home. Apply at http://spamlink.com today.,1
Let's meet for dinner this weekend. Let me know your availability.,0
Earn up to $500 from home. Apply at http://freebie.com today.,1
Get 50% off on your next purchase! Visit http://spamlink.com for more details.,1
"Hi Alice, are we still meeting at 2 PM tomorrow?",0
Get 30% off on your next purchase! Visit http://offers.net for more details.,1
Free voucher for the first 100 users. Act fast!,1
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
Can you send me the file by end of the week?,0
"Happy birthday, Sara! Have a great day!",0
Free subscription for the first 100 users. Act fast!,1
Can you send me the report by tomorrow?,0
Can you send me the file by today?,0
Get 50% off on your next purchase! Visit http://freebie.com for more details.,1
Can you send me the report by end of the week?,0
"Earn up to $1,000 from home. Apply at http://offers.net today.",1
Can you send me the slides by tomorrow?,0
Get 20% off on your next purchase! Visit http://freebie.com for more details.,1
Free voucher for the first 10 users. Act fast!,1
Urgent: Your account has been compromised. Verify at http://offers.net.,1
Can you send me the file by end of the week?,0
Don't forget about the conference happening at office.,0
"Happy birthday, John! Have a great day!",0
Earn up to $100 from home. Apply at http://offers.net today.,1
Earn up to $50 from home. Apply at http://freebie.com today.,1
Let's meet for dinner this weekend. Let me know your availability.,0
"Happy birthday, Mike! Have a great day!",0
Get 75% off on your next purchase! Visit http://offers.net for more details.,1
Get 20% off on your next purchase! Visit http://offers.net for more details.,1
Don't forget about the conference happening at office.,0
"Earn up to $1,000 from home. Apply at http://freebie.com today.",1
Congratulations! You've won $500 dollars. Click here to claim now.,1
"Happy birthday, John! Have a great day!",0
"Happy birthday, John! Have a great day!",0
"Hi Sara, are we still meeting at 10 AM tomorrow?",0
Earn up to $100 from home. Apply at http://spamlink.com today.,1
Congratulations! You've won $50 dollars. Click here to claim now.,1
Let's meet for dinner this Monday. Let me know your availability.,0
Free gift card for the first 10 users. Act fast!,1
Let's meet for dinner this Monday. Let me know your availability.,0
Free voucher for the first 10 users. Act fast!,1
"Earn up to $1,000 from home. Apply at http://spamlink.com today.",1
Congratulations! You've won $500 dollars. Click here to claim now.,1
Get 20% off on your next purchase! Visit http://spamlink.com for more details.,1
"Congratulations! You've won $1,000 dollars. Click here to claim now.",1
Get 50% off on your next purchase! Visit http://spamlink.com for more details.,1
"Earn up to $1,000 from home. Apply at http://spamlink.com today.",1
Urgent: Your account has been compromised. Verify at http://offers.net.,1
Free subscription for the first 100 users. Act fast!,1
Congratulations! You've won $50 dollars. Click here to claim now.,1
Get 30% off on your next purchase! Visit http://spamlink.com for more details.,1
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
Earn up to $500 from home. Apply at http://offers.net today.,1
"Happy birthday, Alice! Have a great day!",0
Free voucher for the first 10 users. Act fast!,1
Congratulations! You've won $100 dollars. Click here to claim now.,1
Don't forget about the presentation happening at auditorium.,0
Earn up to $50 from home. Apply at http://spamlink.com today.,1
Congratulations! You've won $50 dollars. Click here to claim now.,1
Let's meet for lunch this weekend. Let me know your availability.,0
Don't forget about the conference happening at auditorium.,0
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
"Congratulations! You've won $1,000 dollars. Click here to claim now.",1
Urgent: Your account has been compromised. Verify at http://offers.net.,1
Free voucher for the first 10 users. Act fast!,1
Free subscription for the first 50 users. Act fast!,1
Let's meet for lunch this Monday. Let me know your availability.,0
Urgent: Your account has been compromised. Verify at http://offers.net.,1
Let's meet for lunch this Saturday. Let me know your availability.,0
Congratulations! You've won $100 dollars. Click here to claim now.,1
Let's meet for dinner this Monday. Let me know your availability.,0
"Happy birthday, Mike! Have a great day!",0
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
Can you send me the file by tomorrow?,0
"Earn up to $1,000 from home. Apply at http://spamlink.com today.",1
Free voucher for the first 10 users. Act fast!,1
"Happy birthday, Sara! Have a great day!",0
"Happy birthday, John! Have a great day!",0
Get 20% off on your next purchase! Visit http://spamlink.com for more details.,1
Earn up to $100 from home. Apply at http://spamlink.com today.,1
Don't forget about the presentation happening at room 101.,0
Can you send me the slides by end of the week?,0
Let's meet for lunch this Saturday. Let me know your availability.,0
"Congratulations! You've won $1,000 dollars. Click here to claim now.",1
Don't forget about the conference happening at room 101.,0
Don't forget about the conference happening at office.,0
Congratulations! You've won $50 dollars. Click here to claim now.,1
Don't forget about the meeting happening at office.,0
Can you send me the file by tomorrow?,0
Earn up to $100 from home. Apply at http://spamlink.com today.,1
"Happy birthday, Sara! Have a great day!",0
Congratulations! You've won $500 dollars. Click here to claim now.,1
"Hi Sara, are we still meeting at 6 PM tomorrow?",0
Earn up to $500 from home. Apply at http://spamlink.com today.,1
Congratulations! You've won $500 dollars. Click here to claim now.,1
Free gift card for the first 10 users. Act fast!,1
Congratulations! You've won $50 dollars. Click here to claim now.,1
Let's meet for dinner this Monday. Let me know your availability.,0
"Hi Alice, are we still meeting at 10 AM tomorrow?",0
"Hi Alice, are we still meeting at 6 PM tomorrow?",0
Let's meet for dinner this weekend. Let me know your availability.,0
Free voucher for the first 50 users. Act fast!,1
Urgent: Your account has been compromised. Verify at http://offers.net.,1
"Hi Sara, are we still meeting at 2 PM tomorrow?",0
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
"Hi Alice, are we still meeting at 10 AM tomorrow?",0
"Happy birthday, Alice! Have a great day!",0
"Hi Mike, are we still meeting at 10 AM tomorrow?",0
"Earn up to $1,000 from home. Apply at http://offers.net today.",1
Can you send me the slides by tomorrow?,0
Don't forget about the presentation happening at auditorium.,0
Let's meet for coffee this Saturday. Let me know your availability.,0
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
"Hi Mike, are we still meeting at 2 PM tomorrow?",0
"Hi Mike, are we still meeting at 2 PM tomorrow?",0
Urgent: Your account has been compromised. Verify at http://offers.net.,1
Can you send me the report by end of the week?,0
"Hi John, are we still meeting at 6 PM tomorrow?",0
Congratulations! You've won $50 dollars. Click here to claim now.,1
Don't forget about the presentation happening at office.,0
Congratulations! You've won $100 dollars. Click here to claim now.,1
Urgent: Your account has been compromised. Verify at http://offers.net.,1
"Happy birthday, Alice! Have a great day!",0
Free subscription for the first 10 users. Act fast!,1
Congratulations! You've won $50 dollars. Click here to claim now.,1
Earn up to $50 from home. Apply at http://spamlink.com today.,1
"Hi Alice, are we still meeting at 6 PM tomorrow?",0
Congratulations! You've won $100 dollars. Click here to claim now.,1
Get 20% off on your next purchase! Visit http://freebie.com for more details.,1
Don't forget about the conference happening at office.,0
"Hi Alice, are we still meeting at 10 AM tomorrow?",0
Congratulations! You've won $50 dollars. Click here to claim now.,1
Congratulations! You've won $50 dollars. Click here to claim now.,1
Let's meet for lunch this Saturday. Let me know your availability.,0
Can you send me the slides by end of the week?,0
Let's meet for lunch this Monday. Let me know your availability.,0
Congratulations! You've won $500 dollars. Click here to claim now.,1
Don't forget about the presentation happening at office.,0
Can you send me the file by end of the week?,0
"Happy birthday, Alice! Have a great day!",0
Let's meet for lunch this weekend. Let me know your availability.,0
Earn up to $500 from home. Apply at http://spamlink.com today.,1
Can you send me the file by tomorrow?,0
Get 30% off on your next purchase! Visit http://freebie.com for more details.,1
Get 20% off on your next purchase! Visit http://freebie.com for more details.,1
"Earn up to $1,000 from home. Apply at http://spamlink.com today.",1
Get 75% off on your next purchase! Visit http://spamlink.com for more details.,1
Can you send me the report by today?,0
Free gift card for the first 10 users. Act fast!,1
"Hi Sara, are we still meeting at 10 AM tomorrow?",0
Can you send me the slides by end of the week?,0
Urgent: Your account has been compromised. Verify at http://offers.net.,1
Urgent: Your account has been compromised. Verify at http://spamlink.com.,1
Urgent: Your account has been compromised. Verify at http://freebie.com.,1
Earn up to $500 from home. Apply at http://offers.net today.,1
